GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Build Go Green,server,SpringBoot,5,3,0,0,2,1,1,1,1,1
Maven Build Go Green,server.model,User,5,76,6,6,2,24,6,11,0,11
Maven Build Go Green,server.model,Achievement,20,73,7,7,8,21,8,10,1,10
Maven Build Go Green,server.model,TrackingOption,33,3,0,0,14,2,7,1,7,1
Maven Build Go Green,server.security,AuthenticationPoint,0,39,0,0,0,9,0,3,0,3
Maven Build Go Green,server.security,SecurityConfig,0,69,0,0,0,14,0,4,0,4
Maven Build Go Green,client.UI,LoginController,59,0,4,0,15,0,5,0,3,0
Maven Build Go Green,client.UI,FoodController,439,0,26,0,83,0,25,0,12,0
Maven Build Go Green,client.UI,ProfileController,49,0,0,0,6,0,2,0,2,0
Maven Build Go Green,client.UI,CompareController,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,client.UI,transportController,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,client.UI,RootController,160,0,0,0,38,0,10,0,10,0
Maven Build Go Green,client.UI,ScoreController,21,0,0,0,4,0,2,0,2,0
Maven Build Go Green,client.foodAPI,Meal,268,0,6,0,77,0,28,0,25,0
Maven Build Go Green,client.foodAPI,FoodAPI,244,0,14,0,48,0,13,0,6,0
Maven Build Go Green,client.achievement,Achievement,93,0,14,0,29,0,18,0,11,0
Maven Build Go Green,client.achievement,AchievementMap,13,0,0,0,3,0,3,0,3,0
Maven Build Go Green,client,ClientGui,29,0,0,0,9,0,3,0,3,0
Maven Build Go Green,client,User,15,0,0,0,7,0,2,0,2,0
Maven Build Go Green,client,LoginController,56,0,4,0,13,0,4,0,2,0
Maven Build Go Green,client.retrive,ClientController,369,0,14,0,75,0,14,0,7,0
Maven Build Go Green,client.retrive,User,110,0,12,0,27,0,18,0,12,0
Maven Build Go Green,server.controller,AchievementController,6,47,0,2,0,9,1,7,1,6
Maven Build Go Green,server.controller,UserController,0,126,0,4,0,21,0,12,0,10
